lr23,lr_sent,lr23_sent,naive,split,benchmark
0.6666666666666667,0.4,0.6666666666666667,0.9555555555555555,77,UMCSENT
0.6222222222222222,0.7,0.6444444444444445,0.7333333333333334,78,UMCSENT
0.8666666666666667,0.6888888888888889,0.8444444444444444,0.7777777777777778,79,UMCSENT
0.9333333333333333,0.4,0.9333333333333333,0.688888888888889,80,UMCSENT
0.9111111111111112,0.44444444444444453,0.8666666666666667,0.44444444444444453,81,UMCSENT
0.8222222222222222,0.6666666666666667,0.7777777777777778,0.7555555555555555,82,UMCSENT
0.9333333333333333,0.5333333333333333,0.9333333333333333,0.9111111111111111,83,UMCSENT
0.7555555555555555,0.6555555555555556,0.7555555555555555,0.9111111111111112,84,UMCSENT
0.9111111111111112,0.9111111111111111,0.9333333333333333,0.8222222222222223,85,UMCSENT
0.9555555555555556,0.7333333333333334,0.9555555555555556,0.9555555555555556,86,UMCSENT
0.6888888888888889,0.7111111111111112,0.7111111111111111,0.6888888888888888,87,UMCSENT
0.9111111111111112,0.8444444444444444,0.9111111111111112,0.9555555555555556,88,UMCSENT
0.9111111111111112,0.688888888888889,0.9111111111111112,0.8444444444444444,89,UMCSENT
0.8888888888888888,1.0,0.8888888888888888,0.8222222222222223,90,UMCSENT
0.8888888888888888,0.6000000000000001,0.8888888888888888,0.9555555555555556,91,UMCSENT
0.8222222222222223,0.7111111111111111,0.8222222222222223,0.7777777777777778,92,UMCSENT
0.8666666666666667,0.7111111111111111,0.8666666666666667,0.9111111111111112,93,UMCSENT
0.9333333333333333,0.4888888888888889,0.8666666666666667,0.7111111111111111,94,UMCSENT
0.8,0.6,0.8,0.9555555555555556,95,UMCSENT
0.8666666666666667,0.5333333333333333,0.8666666666666667,0.688888888888889,96,UMCSENT
0.7777777777777778,0.7777777777777779,0.7777777777777778,0.8222222222222223,97,UMCSENT
0.9111111111111111,0.5333333333333333,0.9111111111111111,0.6444444444444445,98,UMCSENT
0.888888888888889,0.5333333333333333,0.8666666666666667,0.7333333333333334,99,UMCSENT
0.7555555555555556,0.48888888888888893,0.7333333333333334,0.8,100,UMCSENT
0.9555555555555555,0.6000000000000001,0.9555555555555555,0.7777777777777779,101,UMCSENT
0.6888888888888889,0.6666666666666667,0.6888888888888889,0.6888888888888889,102,UMCSENT
0.7777777777777779,0.6111111111111112,0.7777777777777779,0.6444444444444444,103,UMCSENT
0.9777777777777777,0.9111111111111111,0.9777777777777777,0.888888888888889,104,UMCSENT
0.8444444444444444,0.6888888888888889,0.8444444444444444,0.7333333333333333,105,UMCSENT
0.9333333333333333,0.6555555555555556,0.9333333333333333,0.7777777777777778,106,UMCSENT
0.9555555555555555,0.6222222222222222,0.9555555555555555,0.9111111111111111,107,UMCSENT
0.711111111111111,0.5777777777777778,0.711111111111111,0.8222222222222222,108,UMCSENT
0.7777777777777778,0.8,0.7777777777777778,0.7333333333333334,109,UMCSENT
0.9777777777777777,0.6222222222222223,0.9777777777777777,0.7777777777777778,110,UMCSENT
0.7111111111111111,0.7333333333333334,0.7111111111111111,0.9333333333333333,111,UMCSENT
0.8444444444444446,0.5555555555555556,0.8444444444444446,0.6666666666666667,112,UMCSENT
0.8222222222222223,0.6666666666666667,0.7777777777777778,0.8444444444444446,113,UMCSENT
0.9555555555555556,0.7333333333333334,0.9555555555555556,0.7555555555555556,114,UMCSENT
0.8888888888888888,0.5555555555555556,0.8666666666666667,0.7777777777777778,115,UMCSENT
0.8888888888888888,0.7777777777777779,0.8888888888888888,0.8444444444444444,116,UMCSENT
0.7555555555555555,0.39999999999999997,0.7333333333333334,0.7555555555555556,117,UMCSENT
0.9111111111111112,0.6444444444444445,0.888888888888889,0.9555555555555555,118,UMCSENT
0.7555555555555556,0.8444444444444446,0.7333333333333333,0.8,119,UMCSENT
0.6666666666666667,0.7333333333333334,0.6666666666666667,0.9777777777777777,120,UMCSENT
0.8222222222222223,0.5111111111111112,0.8222222222222223,0.8,121,UMCSENT
0.8666666666666667,0.5111111111111112,0.8666666666666667,0.8,122,UMCSENT
0.711111111111111,0.8777777777777778,0.711111111111111,0.6666666666666667,123,UMCSENT
0.9111111111111112,0.3111111111111111,0.888888888888889,0.7555555555555555,124,UMCSENT
0.8666666666666667,0.4222222222222223,0.8666666666666667,0.8,125,UMCSENT
0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7555555555555556,126,UMCSENT
0.7555555555555556,0.7333333333333334,0.7333333333333334,0.9111111111111112,127,UMCSENT
0.8,0.5444444444444445,0.7777777777777778,0.8222222222222223,128,UMCSENT
0.8444444444444444,0.2666666666666667,0.7777777777777778,0.8,129,UMCSENT
0.9111111111111112,0.6444444444444444,0.9111111111111112,0.8,130,UMCSENT
0.9777777777777777,0.7111111111111111,0.9777777777777777,0.8,131,UMCSENT
0.8666666666666667,0.6222222222222222,0.8666666666666667,0.888888888888889,132,UMCSENT
0.9555555555555555,0.7555555555555555,0.9555555555555555,0.8,133,UMCSENT
0.8222222222222222,0.6888888888888889,0.8222222222222222,0.8666666666666667,134,UMCSENT
0.8666666666666667,0.6777777777777778,0.8222222222222223,0.9333333333333333,135,UMCSENT
0.9333333333333332,0.5777777777777777,0.9333333333333332,0.7111111111111111,136,UMCSENT
0.7333333333333334,0.6888888888888889,0.711111111111111,0.8444444444444446,137,UMCSENT
0.888888888888889,0.48888888888888893,0.8666666666666667,0.5333333333333333,138,UMCSENT
0.9111111111111112,0.4666666666666667,0.9111111111111112,0.9555555555555556,139,UMCSENT
0.7555555555555556,0.4222222222222222,0.7555555555555556,0.888888888888889,140,UMCSENT
0.6444444444444445,0.788888888888889,0.6000000000000001,0.888888888888889,141,UMCSENT
0.7111111111111112,0.5333333333333334,0.688888888888889,0.6888888888888889,142,UMCSENT
0.7333333333333334,0.5111111111111112,0.7333333333333334,0.7555555555555555,143,UMCSENT
0.888888888888889,0.6111111111111112,0.9111111111111111,0.7111111111111111,144,UMCSENT
0.5777777777777778,0.37777777777777777,0.6000000000000001,0.6888888888888889,145,UMCSENT
0.8666666666666667,0.6555555555555556,0.8666666666666667,0.9111111111111111,146,UMCSENT
0.8,0.6888888888888889,0.8,0.8444444444444446,147,UMCSENT
0.8666666666666667,0.4111111111111112,0.8666666666666667,0.7333333333333334,148,UMCSENT
0.5555555555555556,0.6444444444444445,0.5777777777777777,0.5555555555555556,149,UMCSENT
0.9111111111111112,0.5555555555555556,0.9111111111111112,0.7777777777777778,150,UMCSENT
0.7777777777777778,0.5555555555555556,0.7555555555555555,0.7333333333333334,151,UMCSENT
0.9111111111111111,0.5777777777777778,0.888888888888889,0.7333333333333334,152,UMCSENT
0.8666666666666667,0.7333333333333334,0.8666666666666667,0.8,153,UMCSENT
0.7555555555555555,0.6888888888888889,0.7555555555555555,0.9111111111111112,154,UMCSENT
0.7333333333333334,0.7333333333333334,0.7111111111111111,0.6444444444444444,155,UMCSENT
0.8222222222222223,0.5555555555555556,0.8,0.7777777777777778,156,UMCSENT
0.7333333333333333,0.5777777777777778,0.7555555555555555,0.7333333333333334,157,UMCSENT
0.7777777777777778,0.7555555555555555,0.7777777777777778,0.6222222222222221,158,UMCSENT
0.9555555555555555,0.8666666666666667,0.9333333333333333,0.9777777777777777,159,UMCSENT
0.8888888888888888,0.8222222222222222,0.8888888888888888,0.8444444444444444,160,UMCSENT
0.7555555555555555,0.7333333333333334,0.7333333333333333,0.8444444444444444,161,UMCSENT
0.8666666666666667,0.7,0.8444444444444444,0.7777777777777778,162,UMCSENT
0.9333333333333333,0.5333333333333334,0.9111111111111112,0.7333333333333334,163,UMCSENT
0.7777777777777778,0.7333333333333334,0.7777777777777778,1.0,164,UMCSENT
0.9333333333333333,0.7555555555555555,0.9333333333333333,0.8666666666666667,165,UMCSENT
0.8222222222222223,0.7666666666666667,0.8,0.9333333333333333,166,UMCSENT
0.9111111111111112,0.5555555555555556,0.9111111111111112,0.9333333333333333,167,UMCSENT
0.8,0.6222222222222222,0.8,0.6000000000000001,168,UMCSENT
0.8,0.6222222222222222,0.8,0.7111111111111111,169,UMCSENT
0.7555555555555555,0.6222222222222222,0.7333333333333334,0.5777777777777778,170,UMCSENT
0.8444444444444444,0.6222222222222222,0.8444444444444444,0.888888888888889,171,UMCSENT
0.8,0.6666666666666667,0.8,0.8444444444444446,172,UMCSENT
0.6666666666666666,0.7555555555555556,0.6444444444444445,0.7333333333333333,173,UMCSENT
1.0,0.5555555555555556,1.0,0.8444444444444446,174,UMCSENT
0.8444444444444446,0.6888888888888889,0.8222222222222222,0.8666666666666667,175,UMCSENT
0.7333333333333334,0.6777777777777778,0.688888888888889,0.6888888888888889,176,UMCSENT
0.6666666666666667,0.8222222222222222,0.6666666666666667,0.8222222222222223,177,UMCSENT
0.9777777777777777,0.5777777777777778,0.9777777777777777,0.8888888888888888,178,UMCSENT
1.0,0.5555555555555556,1.0,0.4222222222222223,179,UMCSENT
0.9111111111111112,0.9111111111111112,0.9111111111111112,0.8444444444444446,180,UMCSENT
0.6888888888888889,0.7777777777777778,0.7333333333333333,0.7111111111111111,181,UMCSENT
